traits	region_exposure	country	country_exposure
Algeria/G0638_2264/2020	Northern Africa	Algeria	Algeria
Algeria/G0640_2265/2020	Northern Africa	Algeria	Algeria
Algeria/G0860_2262/2020	Northern Africa	Algeria	Algeria
Argentina/C121/2020	South America	Argentina	Argentina
Argentina/C1374/2020	South America	Argentina	Argentina
Argentina/Heritas_HG007/2020	South America	Argentina	Argentina
Argentina/Heritas_HG014/2020	South America	Argentina	Argentina
Argentina/Heritas_HG015/2020	South America	Argentina	Argentina
Argentina/PAIS-A0003/2020	South America	Argentina	Argentina
Argentina/PAIS-A0006/2020	South America	Argentina	Argentina
Argentina/PAIS-A0017/2020	South America	Argentina	Argentina
Argentina/PAIS-A0018/2020	South America	Argentina	Argentina
Argentina/PAIS-A0019/2020	South America	Argentina	Argentina
Argentina/PAIS-A0025/2020	South America	Argentina	Argentina
Argentina/PAIS-A0027/2020	South America	Argentina	Argentina
Argentina/PAIS-G0001/2020	South America	Argentina	Argentina
Australia/NSW04/2020	Oceania	Australia	Australia
Australia/NSW10/2020	Oceania	Australia	Australia
Australia/NSW491/2020	Oceania	Australia	Australia
Australia/NSW627/2020	Oceania	Australia	Australia
Australia/NSW631/2020	Oceania	Australia	Australia
Australia/NSW633/2020	Oceania	Australia	Australia
Australia/NSW697/2020	Oceania	Australia	Australia
Australia/SAP097/2020	Oceania	Australia	Australia
Australia/SAP099/2020	Oceania	Australia	Australia
Australia/SAP305/2020	Oceania	Australia	Australia
Australia/SAP473/2020	Oceania	Australia	Australia
Australia/VIC07/2020	Oceania	Australia	Australia
Australia/VIC1151/2020	Oceania	Australia	Australia
Australia/VIC1392/2020	Oceania	Australia	Australia
Australia/VIC1504/2020	Oceania	Australia	Australia
Australia/VIC1615/2020	Oceania	Australia	Australia
Australia/VIC1682/2020	Oceania	Australia	Australia
Australia/VIC1726/2020	Oceania	Australia	Australia
Australia/VIC173/2020	Oceania	Australia	Australia
Australia/VIC1888/2020	Oceania	Australia	Australia
Australia/VIC2023/2020	Oceania	Australia	Australia
Australia/VIC2142/2020	Oceania	Australia	Australia
Australia/VIC441/2020	Oceania	Australia	Australia
Australia/VIC84/2020	Oceania	Australia	Australia
Australia/WA74/2020	Oceania	Australia	Australia
Australia/WA78/2020	Oceania	Australia	Australia
Australia/WA85/2020	Oceania	Australia	Australia
Austria/CeMM0033/2020	Western Europe	Austria	Austria
Austria/CeMM0098/2020	Western Europe	Austria	Austria
Austria/CeMM0101/2020	Western Europe	Austria	Austria
Austria/CeMM0121/2020	Western Europe	Austria	Austria
Austria/CeMM0143/2020	Western Europe	Austria	Austria
Austria/CeMM0157/2020	Western Europe	Austria	Austria
Austria/CeMM0361/2020	Western Europe	Austria	Austria
Austria/CeMM0418/2020	Western Europe	Austria	Austria
Austria/CeMM0424/2020	Western Europe	Austria	Austria
Austria/CeMM0546/2020	Western Europe	Austria	Austria
Austria/CeMM0620/2020	Western Europe	Austria	Austria
Austria/CeMM0622/2020	Western Europe	Austria	Austria
Austria/CeMM0639/2020	Western Europe	Austria	Austria
Austria/Graz-MUG17/2020	Western Europe	Austria	Austria
Bahrein/BAH-02/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-06/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-09/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-11/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-16/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-21/2020	Western Asia	Bahrain	Bahrain
Bangladesh/BARJ-CVASU-CTG-518/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC-317/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC-342/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_110/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_193/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_364/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_374/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0002/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0003/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0009/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0011/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/DU_50768/2020	Southern Asia	Bangladesh	Bangladesh
Beijing/WH-09/2020	Eastern Asia	China	China
Belgium/20A30/2020	Western Europe	Belgium	Belgium
Belgium/20A42/2020	Western Europe	Belgium	Belgium
Belgium/AKM-030670/2020	Western Europe	Belgium	Belgium
Belgium/BA-02291/2020	Western Europe	Belgium	Belgium
Belgium/BN-0330347/2020	Western Europe	Belgium	Belgium
Belgium/FM-030592/2020	Western Europe	Belgium	Belgium
Belgium/GLA-0324179/2020	Western Europe	Belgium	Belgium
Belgium/HC-0408293/2020	Western Europe	Belgium	Belgium
Belgium/HP-0319108/2020	Western Europe	Belgium	Belgium
Belgium/ITM_C340/2020	Western Europe	Belgium	Belgium
Belgium/ITM_C420/2020	Western Europe	Belgium	Belgium
Belgium/JJC-0325165/2020	Western Europe	Belgium	Belgium
