# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 29 15:13:30 EDT 2020 [seed=1603998786178]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-183662.96793897945	-21217.994479171146	-162444.9734598083	1.9597259975200811	2018.04027400248	17.30083653452009	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	0.9612786768048157	0.33595438775607367	0.0010823913753308305	-162444.9734598083	-19931.075800346975	-1269.4958664981862
1000	-162786.59733860652	-21181.3987781193	-141605.19856048722	1.5801074545720926	2018.419892545428	15.716582047311306	0.9867404848690623	0.7693767082255218	3.0323212695509327	0.2500000001	0.2559791523913272	0.24117718371803454	0.2528436637906383	0.5	0.23743666407288835	0.2901658763002013	0.17113694387260878	1.1807174481995069	0.0034320996259713027	-141605.19856048722	-19931.075800346975	-1246.1238156266666
2000	-150132.55595748997	-21272.77646846456	-128859.7794890254	1.3199822067420883	2018.680017793258	16.640760370325843	1.0428673326680045	0.15409893564620947	5.365708899416208	0.2553098851484487	0.24951412170590517	0.24035773524374046	0.25481825790190565	0.28310219850930235	0.08074083006807921	0.13004164610609276	0.0473042479914599	1.501149108030702	-0.0043627490037660725	-128859.7794890254	-19931.075800346975	-1341.216775902487
3000	-145109.81679702376	-21336.282467255896	-123773.53432976786	1.2580371279952005	2018.7419628720047	16.983322912517412	1.1075707507800405	0.39671864643298216	5.365708899416208	0.24115786212945095	0.24951412170590517	0.2292440617600768	0.28008395440456707	0.13958178464678384	0.07120260880675647	0.07546620215419783	0.04343664336740708	1.0291359708797447	-0.004737712033777701	-123773.53432976786	-19931.075800346975	-1405.0781047489688
4000	-139926.50844223192	-21399.24132879621	-118527.2671134357	1.2522064935485957	2018.7477935064514	16.74695323076464	1.1443827260926926	0.48562481571988236	5.365708899416208	0.24084800881330864	0.23238936417645978	0.23047217434669592	0.29629045266353565	0.06825747167100274	0.8320102153231073	0.23433145990158244	0.7015219135732248	0.28301914646399745	-0.012353174536251675	-118527.2671134357	-19931.075800346975	-1453.6208720367638
5000	-137764.65761013684	-21490.007010430185	-116274.65059970666	1.257360361317107	2018.742639638683	16.810538574525342	1.2137881900370227	1.0457028299045388	5.926820288515282	0.24529453383922817	0.22835627163280847	0.22799115731913644	0.2983580372088269	0.0676097638937382	1.6553104858810992	1.1989880684578702	1.1067348642520052	0.7168510160723315	-0.005405061165906288	-116274.65059970666	-19931.075800346975	-1526.4939296793075
6000	-136524.2174300238	-21545.588744769604	-114978.6286852542	1.2570529973326932	2018.7429470026673	17.103777710378502	1.2782622462872977	0.6113789748184808	5.926820288515282	0.24529453383922817	0.2264507761594624	0.22799115731913644	0.300263532682173	0.06613745022979274	1.732827838626261	1.3100457928780085	1.1611653385030345	0.745806308009536	-0.012654464473724147	-114978.6286852542	-19931.075800346975	-1580.3025262631556
7000	-135617.23721666614	-21573.900569392095	-114043.33664727403	1.2552655140936697	2018.7447344859063	16.793722703934925	1.3660223584060478	0.5332937707557106	5.846634586114206	0.24529453383922817	0.21610418837241177	0.22799115731913644	0.3106101204692236	0.065021893060251	1.9158927867173086	1.618191317097221	1.247717621456079	0.8307146276601225	0.0010943241874727357	-114043.33664727403	-19931.075800346975	-1605.1277551230728
8000	-134544.65052421278	-21597.192701694403	-112947.45782251838	1.2543910526899478	2018.74560894731	16.476416207388194	1.3430442773742168	0.5375612681255577	5.903757255992949	0.24578144568515684	0.2123474990554148	0.2171336508029988	0.32473740445642957	0.06422053325803648	2.037885195498571	1.7285676175419775	1.3344146761117375	0.8294093191976458	-0.0030566928848530838	-112947.45782251838	-19931.075800346975	-1626.6460648469497
9000	-133515.68314245404	-21610.278021826867	-111905.40512062717	1.2429534007716418	2018.7570465992283	15.978232452881088	1.3348907600882476	1.4279972869762836	5.920274462118852	0.2534723900214082	0.1966363645121272	0.20993251390263684	0.3399587315638278	0.06089072131804326	2.434829436047972	2.0591931625694313	1.6008700793448831	0.8257346931143991	-0.00739893129145419	-111905.40512062717	-19931.075800346975	-1632.4260787832882
