source	sink	tmrca	size	tips
Eastern Asia	Oceania	2020-02-06	1	Australia/VIC07/2020|2020-02-08
Eastern Asia	Western Asia	2020-04-25	1	UnitedArabEmirates/L920702211/2020|2020-04-27
Eastern Asia	North America	2020-03-15	2	USA/IL-UW-149/2020|2020-04-07, USA/WI-UW-367/2020|2020-04-01
Eastern Asia	Western Asia	2020-02-09	16	SaudiArabia/KAUST-MADINAH688/2020|2020-05-08, SaudiArabia/KAUST-MADINAH434/2020|2020-04-23, UnitedArabEmirates/L3290165435/2020|2020-05-13, UnitedArabEmirates/L123065607/2020|2020-04-21, UnitedArabEmirates/L920643384/2020|2020-04-05, UnitedArabEmirates/L3290314014/2020|2020-05-25, Bahrein/BAH-12/2020|2020-03-30, UnitedArabEmirates/L3290363526/2020|2020-05-30, UnitedArabEmirates/L104447095/2020|2020-05-02, UnitedArabEmirates/L3300054450/2020|2020-06-05, UnitedArabEmirates/L3290220847/2020|2020-05-17, UnitedArabEmirates/L3290223961/2020|2020-05-18, UnitedArabEmirates/L2006032095/2020|2020-06-16, UnitedArabEmirates/L920647430/2020|2020-04-07, UnitedArabEmirates/L3290262866/2020|2020-05-20, UnitedArabEmirates/L920673013/2020|2020-04-17
Eastern Asia	North America	2020-06-17	1	USA/MO-WUSTL069/2020|2020-06-19
Eastern Asia	Southeastern Asia	2020-02-26	1	Singapore/12Clin/2020|2020-02-28
Eastern Asia	Southern Europe	2020-02-08	21	Spain/MD-006422/2020|2020-06-04, Spain/Valencia237/2020|2020-03-24, Spain/Valencia260/2020|2020-03-26, Spain/EX-004991/2020|2020-05-08, Spain/Zaragoza2401/2020|2020-03-28, Spain/Granada-COV002964/2020|2020-03-30, Spain/El_Rosal-COV002922/2020|2020-03-21, Spain/Almassera633/2020|2020-03-30, Spain/Valencia537/2020|2020-03-29, Spain/Valencia208/2020|2020-03-28, Spain/Valencia211/2020|2020-03-28, Spain/MD-005316/2020|2020-03-16, Spain/MD-006376/2020|2020-04-09, Spain/GA-004068/2020|2020-03-18, Spain/Jun-COV002906/2020|2020-03-18, Spain/MD-006413/2020|2020-04-03, Spain/MD-006400/2020|2020-04-01, Spain/Valencia536/2020|2020-03-29, Spain/Valencia308/2020|2020-03-23, Spain/Valencia246/2020|2020-03-29, Spain/Valencia216/2020|2020-03-28
Eastern Asia	Oceania	2020-01-29	1	Australia/VIC13/2020|2020-01-31
Eastern Asia	Southern Europe	2020-01-30	24	Spain/Galicia201793/2020|2020-03-09, Spain/AR-005050/2020|2020-04-21, Spain/AR-005086/2020|2020-04-23, Spain/AR-005043/2020|2020-04-20, Spain/Andalucia201622/2020|2020-03-05, Spain/Alcala_la_Real-COV002995/2020|2020-04-01, Portugal/PT0296/2020|2020-03-13, Spain/Huetor_Santillan-COV002928/2020|2020-03-24, Spain/Valencia5/2020|2020-02-27, Spain/AN-002023/2020|2020-03-16, Spain/AN-004126/2020|2020-04-30, Spain/Zaragoza2410/2020|2020-03-28, Spain/AN-004076/2020|2020-04-14, Spain/AN-004091/2020|2020-04-17, Spain/AN-006122/2020|2020-04-10, Spain/MD-006440/2020|2020-03-25, Spain/Valencia251/2020|2020-03-27, Spain/Valencia126/2020|2020-03-14, Spain/AN-004078/2020|2020-04-14, Spain/RI-005954/2020|2020-03-25, Spain/RI-006018/2020|2020-03-31, Spain/RI-006017/2020|2020-03-30, Spain/AR-005057/2020|2020-04-21, Spain/Granada-COV003034/2020|2020-04-06
Eastern Asia	North America	2020-01-31	60	USA/WA-S113/2020|2020-02-29, USA/CA-CDPH008/2020|2020-03-26, USA/CT-Yale-005/2020|2020-03-09, USA/AZ-TG268893/2020|2020-03-05, USA/CA-CDPH001/2020|2020-03-15, USA/FL-CDC-9656/2020|2020-03-06, USA/CT-Yale-041/2020|2020-03-16, USA/OR-PROV-020/2020|2020-03-26, USA/WA-S89/2020|2020-02-29, USA/WA-S680/2020|2020-04-08, USA/UT-020/2020|2020-03-20, USA/WY-WYPHL012/2020|2020-03-14, USA/WA-UW42/2020|2020-03-09, USA/VI-CDC-3688/2020|2020-03-23, USA/WA-S25/2020|2020-03-02, USA/CA-CZB-1391/2020|2020-04-18, USA/OR-UW-1937/2020|2020-03-21, USA/CT-Yale-142/2020|2020-03-21, USA/MN-MDH-1397/2020|2020-04-29, USA/MN-MDH-1368/2020|2020-04-23, USA/CT-Yale-023/2020|2020-03-18, USA/VA-DCLS-0001/2020|2020-03-17, USA/NY-NYUMC670/2020|2020-04-14, USA/MT-BHDH-074/2020|2020-04-15, USA/NM-UNM-00014/2020|2020-03-14, USA/ME-HETL-J0082/2020|2020-03-20, USA/NJ-NYUMC111/2020|2020-03-18, USA/CT-Yale-009/2020|2020-03-12, USA/NV-NSPHL-A0005/2020|2020-03-11, USA/WA-S212/2020|2020-03-19, USA/IL-CDC-1732/2020|2020-03-05, USA/CT-Yale-002/2020|2020-03-10, USA/CT-Yale-003/2020|2020-03-08, USA/KY-9E09/2020|2020-03-18, USA/CT-Yale-080/2020|2020-04-06, Canada/BC_8622445/2020|2020-03-13, USA/CT-Yale-038/2020|2020-03-17, USA/CT-Yale-042/2020|2020-03-19, USA/CT-Yale-148/2020|2020-03-25, USA/CT-Yale-045/2020|2020-03-23, USA/FL-BPHL-0565/2020|2020-03-13, USA/CA-CZB-2472/2020|2020-03-30, USA/CT-Yale-057/2020|2020-03-28, USA/CT-Yale-034/2020|2020-03-15, USA/CT-Yale-264/2020|2020-04-02, USA/CT-Yale-238/2020|2020-04-01, USA/WA-S717/2020|2020-04-11, USA/WA-S170/2020|2020-03-17, USA/CT-Yale-037/2020|2020-03-16, USA/CT-Yale-010/2020|2020-03-14, USA/CT-Yale-316/2020|2020-03-31, USA/TX_GCID_192000119/2020|2020-03-24, USA/CT-Yale-012/2020|2020-03-19, USA/CT-Yale-032/2020|2020-03-18, USA/WA-S402/2020|2020-03-28, USA/CA-CZB036/2020|2020-03-25, USA/CA-CZB-1168/2020|2020-04-27, USA/WA-S912/2020|2020-04-27, USA/CT-Yale-112/2020|2020-04-09, USA/WA-S436/2020|2020-03-31
