traits	region_exposure	country	country_exposure
Algeria/G0638_2264/2020	Northern Africa	Algeria	Algeria
Algeria/G0640_2265/2020	Northern Africa	Algeria	Algeria
Algeria/G0860_2262/2020	Northern Africa	Algeria	Algeria
Argentina/C1374/2020	South America	Argentina	Argentina
Argentina/C3013/2020	South America	Argentina	Argentina
Argentina/Heritas_HG001/2020	South America	Argentina	Argentina
Argentina/Heritas_HG006/2020	South America	Argentina	Argentina
Argentina/Heritas_HG014/2020	South America	Argentina	Argentina
Argentina/Heritas_HG015/2020	South America	Argentina	Argentina
Argentina/PAIS-A0001/2020	South America	Argentina	Argentina
Argentina/PAIS-A0002/2020	South America	Argentina	Argentina
Argentina/PAIS-A0007/2020	South America	Argentina	Argentina
Argentina/PAIS-A0017/2020	South America	Argentina	Argentina
Argentina/PAIS-A0019/2020	South America	Argentina	Argentina
Argentina/PAIS-A0025/2020	South America	Argentina	Argentina
Argentina/PAIS-G0001/2020	South America	Argentina	Argentina
Australia/NSW04/2020	Oceania	Australia	Australia
Australia/NSW152/2020	Oceania	Australia	Australia
Australia/NSW2154/2020	Oceania	Australia	Australia
Australia/NSW219/2020	Oceania	Australia	Australia
Australia/NSW488/2020	Oceania	Australia	Australia
Australia/NSW627/2020	Oceania	Australia	Australia
Australia/NSW636/2020	Oceania	Australia	Australia
Australia/NSW689/2020	Oceania	Australia	Australia
Australia/NSW692/2020	Oceania	Australia	Australia
Australia/NSW712/2020	Oceania	Australia	Australia
Australia/QLD04/2020	Oceania	Australia	Australia
Australia/VIC1136/2020	Oceania	Australia	Australia
Australia/VIC1267/2020	Oceania	Australia	Australia
Australia/VIC1507/2020	Oceania	Australia	Australia
Australia/VIC1591/2020	Oceania	Australia	Australia
Australia/VIC1615/2020	Oceania	Australia	Australia
Australia/VIC1726/2020	Oceania	Australia	Australia
Australia/VIC1804/2020	Oceania	Australia	Australia
Australia/VIC1894/2020	Oceania	Australia	Australia
Australia/VIC1951/2020	Oceania	Australia	Australia
Australia/VIC2151/2020	Oceania	Australia	Australia
Australia/VIC254/2020	Oceania	Australia	Australia
Australia/VIC456/2020	Oceania	Australia	Australia
Australia/VPRL014/2020	Oceania	Australia	Australia
Australia/WA11/2020	Oceania	Australia	Australia
Australia/WA42/2020	Oceania	Australia	Australia
Australia/WA70/2020	Oceania	Australia	Australia
Austria/CeMM0032/2020	Western Europe	Austria	Austria
Austria/CeMM0112/2020	Western Europe	Austria	Austria
Austria/CeMM0125/2020	Western Europe	Austria	Austria
Austria/CeMM0143/2020	Western Europe	Austria	Austria
Austria/CeMM0148/2020	Western Europe	Austria	Austria
Austria/CeMM0204/2020	Western Europe	Austria	Austria
Austria/CeMM0363/2020	Western Europe	Austria	Austria
Austria/CeMM0409/2020	Western Europe	Austria	Austria
Austria/CeMM0448/2020	Western Europe	Austria	Austria
Austria/CeMM0516/2020	Western Europe	Austria	Austria
Austria/CeMM0536/2020	Western Europe	Austria	Austria
Austria/CeMM0546/2020	Western Europe	Austria	Austria
Austria/CeMM0639/2020	Western Europe	Austria	Austria
Austria/Graz-MUG17/2020	Western Europe	Austria	Austria
Bahrain/03/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-01/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-05/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-06/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-11/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-19/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-22/2020	Western Asia	Bahrain	Bahrain
Bangladesh/BCSIR-NILMRC_077/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_237/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_352/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_367/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_374/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0002/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0003/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0009/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0011/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0015/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/DU_50758/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/NIB_01/2020	Southern Asia	Bangladesh	Bangladesh
Beijing/WH-09/2020	Eastern Asia	China	China
Belgium/BA-02291/2020	Western Europe	Belgium	Belgium
Belgium/BS-030598/2020	Western Europe	Belgium	Belgium
Belgium/BS-0325183/2020	Western Europe	Belgium	Belgium
Belgium/BS-0331361/2020	Western Europe	Belgium	Belgium
Belgium/DRR-0401366/2020	Western Europe	Belgium	Belgium
Belgium/EM-0407403/2020	Western Europe	Belgium	Belgium
Belgium/ITM_C161/2020	Western Europe	Belgium	Belgium
Belgium/ITM_C285/2020	Western Europe	Belgium	Belgium
Belgium/JRH-030459/2020	Western Europe	Belgium	Belgium
Belgium/MC-0323129/2020	Western Europe	Belgium	Belgium
Belgium/NKMA-0324172/2020	Western Europe	Belgium	Belgium
Belgium/NMA-0324169/2020	Western Europe	Belgium	Belgium
